NOMBRE;COLOR;COSTEMANA;TIPOS;EDICION;FECHA;DESCRIPCION;ESTADISTICAS;CANTIDAD
Ardent Elementalist;R;{3}{R};Creature — Human Shaman;Innistrad: Midnight Hunt;2021-09-24;When this creature enters, return target instant or sorcery card from your graveyard to your hand.;2/1;1
Pyre Spawn;R;{4}{R}{R};Creature — Elemental;Innistrad: Crimson Vow;2021-11-19;When this creature dies, it deals 3 damage to any target.;6/4;1
Maw of Kozilek;;{3}{R};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
{C}: This creature gets +2/-2 until end of turn. ({C} represents colorless mana.)";2/5;1
Reckless Bushwhacker;R;{2}{R};Creature — Goblin Warrior Ally;Oath of the Gatewatch;2016-01-22;"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Haste
When this creature enters, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn.";2/1;2
Cut Propulsion;R;{2}{R};Instant;Edge of Eternities;2025-08-01;Target creature deals damage to itself equal to its power. If that creature has flying, it deals twice that much damage to itself instead.;/;1
Frontline War-Rager;R;{2}{R};Creature — Kavu Soldier;Edge of Eternities;2025-08-01;At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on this creature.;2/3;1
Hungry Ridgewolf;R;{1}{R};Creature — Wolf;Innistrad Remastered;2025-01-24;As long as you control another Wolf or Werewolf, this creature gets +1/+0 and has trample.;2/2;2
Invasive Maneuvers;R;{1}{R};Instant;Edge of Eternities;2025-08-01;Invasive Maneuvers deals 3 damage to target creature. It deals 5 damage instead if you control a Spacecraft.;/;1
Mayhem Patrol;R;{1}{R};Creature — Devil Warrior;Streets of New Capenna;2022-04-29;"Menace (This creature can't be blocked except by two or more creatures.)
Whenever this creature attacks, target creature gets +1/+0 until end of turn.
Blitz {1}{R} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)";1/2;1
Zookeeper Mechan;R;{1}{R};Artifact Creature — Robot;Edge of Eternities;2025-08-01;"{T}: Add {R}.
{6}{R}: Target creature you control gets +4/+0 until end of turn. Activate only as a sorcery.";1/3;2
Molecular Modifier;R;{2}{R};Creature — Kavu Artificer;Edge of Eternities;2025-08-01;At the beginning of combat on your turn, target creature you control gets +1/+0 and gains first strike until end of turn.;2/2;1
Oreplate Pangolin;R;{1}{R};Artifact Creature — Robot Pangolin;Edge of Eternities;2025-08-01;Whenever another artifact you control enters, you may pay {1}. If you do, put a +1/+1 counter on this creature.;2/2;1
Expedite;R;{R};Instant;Commander Legends;2020-11-20;"Target creature gains haste until end of turn.
Draw a card.";/;3
Red Tiger Mechan;R;{3}{R};Artifact Creature — Robot Cat;Edge of Eternities;2025-08-01;"Haste
Warp {1}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";3/3;1
Tyrant of Valakut;R;{5}{R}{R};Creature — Dragon;Oath of the Gatewatch;2016-01-22;"Surge {3}{R}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Flying
When this creature enters, if its surge cost was paid, it deals 3 damage to any target.";5/4;1
Craven Hulk;R;{3}{R};Creature — Giant Coward;Kaldheim;2021-02-05;This creature can't block alone.;4/4;1
Kavaron Turbodrone;R;{2}{R};Artifact Creature — Robot Scout;Edge of Eternities;2025-08-01;{T}: Target creature you control gets +1/+1 and gains haste until end of turn. Activate only as a sorcery.;2/3;1
Unlucky Witness;R;{R};Creature — Human Citizen;Streets of New Capenna;2022-04-29;When this creature dies, exile the top two cards of your library. Until your next end step, you may play one of those cards.;1/1;1
Hemosymbic Mite;G;{G};Creature — Mite;Edge of Eternities;2025-08-01;Whenever this creature becomes tapped, another target creature you control gets +X/+X until end of turn, where X is this creature's power.;1/1;1
Oakshade Stalker // Moonlit Ambusher;;;Creature — Human Ranger Werewolf // Creature — Werewolf;Innistrad: Crimson Vow;2021-11-19;;/;2
Arlinn, Voice of the Pack;G;{4}{G}{G};Legendary Planeswalker — Arlinn;War of the Spark;2019-05-03;"Each creature you control that's a Wolf or a Werewolf enters with an additional +1/+1 counter on it.
−2: Create a 2/2 green Wolf creature token.";/;1
Harmonious Grovestrider;G;{3}{G}{G};Creature — Beast;Edge of Eternities;2025-08-01;"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Harmonious Grovestrider's power and toughness are each equal to the number of lands you control.";*/*;1
Fungal Colossus;G;{6}{G};Creature — Fungus Beast;Edge of Eternities;2025-08-01;This spell costs {X} less to cast, where X is the number of differently named lands you control.;5/5;1
Sami's Curiosity;G;{G};Sorcery;Edge of Eternities;2025-08-01;"You gain 2 life. Create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";/;1
Lashwhip Predator;G;{4}{G}{G};Creature — Plant Beast;Edge of Eternities;2025-08-01;"This spell costs {2} less to cast if your opponents control three or more creatures.
Reach";5/7;1
Thawbringer;G;{2}{G};Creature — Insect Scout;Edge of Eternities;2025-08-01;When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.);4/2;2
Canopy Gorger;G;{4}{G}{G};Creature — Wurm;Oath of the Gatewatch;2016-01-22;;6/5;1
Dawnhart Disciple;G;{1}{G};Creature — Human Warlock;Innistrad Remastered;2025-01-24;Whenever another Human you control enters, this creature gets +1/+1 until end of turn.;2/2;3
Drix Fatemaker;G;{3}{G};Creature — Drix Wizard;Edge of Eternities;2025-08-01;"When this creature enters, put a +1/+1 counter on target creature.
Each creature you control with a +1/+1 counter on it has trample.
Warp {1}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";3/2;1
Icecave Crasher;G;{3}{G};Creature — Beast;Edge of Eternities;2025-08-01;"Trample
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.";4/4;1
Atmospheric Greenhouse;G;{4}{G};Artifact — Spacecraft;Edge of Eternities;2025-08-01;"When this Spacecraft enters, put a +1/+1 counter on each creature you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying, trample";5/4;2
Rhox Pummeler;G;{5}{G};Creature — Rhino Soldier;Streets of New Capenna;2022-04-29;"This creature enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
This creature has trample as long as it has a shield counter on it.";6/3;2
Hookhand Mariner // Riphook Raider;;;Creature — Human Werewolf // Creature — Werewolf;Innistrad: Crimson Vow;2021-11-19;;/;1
Embodiment of Insight;G;{4}{G};Creature — Elemental;Zendikar Rising Commander;2020-09-25;"Vigilance
Land creatures you control have vigilance.
Landfall — Whenever a land you control enters, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land.";4/4;1
Intrepid Tenderfoot;G;{1}{G};Creature — Insect Citizen;Edge of Eternities;2025-08-01;{3}: Put a +1/+1 counter on this creature. Activate only as a sorcery.;2/2;1
Gene Pollinator;G;{G};Artifact Creature — Robot Insect;Edge of Eternities;2025-08-01;{T}, Tap an untapped permanent you control: Add one mana of any color.;1/2;1
Sunbathing Rootwalla;G;{1}{G};Creature — Lizard;Dominaria United;2022-09-09;Domain — {3}{G}: Until end of turn, this creature gets +1/+1 for each basic land type among lands you control. Activate only once each turn.;2/2;2
Vile Redeemer;;{2}{G};Creature — Eldrazi;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Flash
When you cast this spell, you may pay {C}. If you do, create a 1/1 colorless Eldrazi Scion creature token for each nontoken creature that died under your control this turn. Those tokens have ""Sacrifice this token: Add {C}.""";3/3;1
Edge Rover;G;{G};Artifact Creature — Robot Scout;Edge of Eternities;2025-08-01;"Reach
When this creature dies, each player creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";2/2;2
Terrasymbiosis;G;{2}{G};Enchantment;Edge of Eternities;2025-08-01;Whenever you put one or more +1/+1 counters on a creature you control, you may draw that many cards. Do this only once each turn.;/;1
Galactic Wayfarer;G;{2}{G};Creature — Human Scout;Edge of Eternities;2025-08-01;"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";3/3;3
Bonds of Mortality;G;{1}{G};Enchantment;Oath of the Gatewatch;2016-01-22;"When this enchantment enters, draw a card.
{G}: Creatures your opponents control lose hexproof and indestructible until end of turn.";/;1
Stalking Drone;;{1}{G};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
{C}: This creature gets +1/+2 until end of turn. Activate only once each turn. ({C} represents colorless mana.)";2/2;1
Spatial Contortion;;{1}{C};Instant;Commander Masters;2023-08-04;"({C} represents colorless mana.)
Target creature gets +3/-3 until end of turn.";/;1
Space-Time Anomaly;UW;{2}{W}{U};Sorcery;Edge of Eternities;2025-08-01;Target player mills cards equal to your life total.;/;1
Exotic Pets;UW;{1}{W}{U};Instant;Streets of New Capenna;2022-04-29;"Create two 1/1 blue Fish creature tokens with ""This token can't be blocked."" Then for each kind of counter among creatures you control, put a counter of that kind on either of those tokens.";/;1
Siphon Insight;BU;{U}{B};Instant;Outlaws of Thunder Junction Commander;2024-04-19;"Look at the top two cards of target opponent's library. Exile one of them face down and put the other on the bottom of that library. You may play the exiled card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.
Flashback {1}{U}{B}";/;2
Mm'menon, Uthros Exile;RU;{1}{U}{R};Legendary Creature — Jellyfish Advisor;Edge of Eternities;2025-08-01;"Flying
Whenever an artifact you control enters, put a +1/+1 counter on target creature.";1/3;1
Bloodtithe Harvester;BR;{B}{R};Creature — Vampire;Innistrad Remastered;2025-01-24;"When this creature enters, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")
{T}, Sacrifice this creature: Target creature gets -X/-X until end of turn, where X is twice the number of Blood tokens you control. Activate only as a sorcery.";3/2;1
Fatal Grudge;BR;{B}{R};Sorcery;Streets of New Capenna;2022-04-29;"As an additional cost to cast this spell, sacrifice a nonland permanent.
Each opponent chooses a permanent they control that shares a card type with the sacrificed permanent and sacrifices it.
Draw a card.";/;1
